Condition,CFU,logCFU,Date
MO.2,82000,4.913813852,20210119
MO.2,66000,4.819543936,20210119
MO.2,60000,4.77815125,20210119
MO.2,58000,4.763427994,20210119
MO.2,50000,4.698970004,20210119
MO.2,50000,4.698970004,20210119
MO.2,46000,4.662757832,20210119
MO.2,42000,4.62324929,20210119
MO.2,42000,4.62324929,20210119
MO.2,40000,4.602059991,20210119
MO.2,38000,4.579783597,20210119
MO.2,34000,4.531478917,20210119
MO.2,34000,4.531478917,20210119
MO.2,22000,4.342422681,20210119
MO.2,360000,5.556302501,20200902
MO.2,280000,5.447158031,20200902
MO.2,240000,5.380211242,20200902
MO.2,80000,4.903089987,20200902
MO.2,54000,4.73239376,20200902
MO.2,38000,4.579783597,20200902
MO.2,24000,4.380211242,20200902
MO.2,18000,4.255272505,20200902
MO.2,10000,4,20200902
MO.2,1600,3.204119983,20200902
MO.2,800,2.903089987,20200902
MO.2,600,2.77815125,20200902
MO.2,60000,4.77815125,20111101
MO.2,60000,4.77815125,20111101
MO.2,58000,4.763427994,20111101
MO.2,54000,4.73239376,20111101
MO.2,50000,4.698970004,20111101
MO.2,38000,4.579783597,20111101
MO.2,30000,4.477121255,20111101
MO.2,28000,4.447158031,20111101
MO.2,24000,4.380211242,20111101
MO.2,14000,4.146128036,20111101
MO.2,3200,3.505149978,20111101
MO.2,3200,3.505149978,20111101
MO.3,440000,5.643452676,20210119
MO.3,420000,5.62324929,20210119
MO.3,420000,5.62324929,20210119
MO.3,420000,5.62324929,20210119
MO.3,380000,5.579783597,20210119
MO.3,360000,5.556302501,20210119
MO.3,360000,5.556302501,20210119
MO.3,320000,5.505149978,20210119
MO.3,300000,5.477121255,20210119
MO.3,260000,5.414973348,20210119
MO.3,260000,5.414973348,20210119
MO.3,260000,5.414973348,20210119
MO.3,200000,5.301029996,20210119
MO.3,180000,5.255272505,20210119
MO.3,180000,5.255272505,20210119
MO.3,180000,5.255272505,20210119
MO.3,160000,5.204119983,20210119
MO.3,120000,5.079181246,20210119
MO.3,120000,5.079181246,20210119
MO.3,100000,5,20210119
MO.3,50000,4.698970004,20210119
MO.3,48000,4.681241237,20210119
MO.3,18000,4.255272505,20210119
MO.3,3200,3.505149978,20210119
MO.3,560000,5.748188027,20200902
MO.3,280000,5.447158031,20200902
MO.3,260000,5.414973348,20200902
MO.3,220000,5.342422681,20200902
MO.3,160000,5.204119983,20200902
MO.3,140000,5.146128036,20200902
MO.3,120000,5.079181246,20200902
MO.3,100000,5,20200902
MO.3,64000,4.806179974,20200902
MO.3,54000,4.73239376,20200902
MO.3,18000,4.255272505,20200902
MO.3,100000,5,20111101
MO.3,100000,5,20111101
MO.3,64000,4.806179974,20111101
MO.3,64000,4.806179974,20111101
MO.3,34000,4.531478917,20111101
MO.3,26000,4.414973348,20111101
MO.3,20000,4.301029996,20111101
MO.3,6800,3.832508913,20111101
MO.3,6400,3.806179974,20111101
MO.3,5200,3.716003344,20111101
MO.3,4600,3.662757832,20111101
MO.3,4400,3.643452676,20111101
MO.A1.9,260000,5.414973348,20210119
MO.A1.9,260000,5.414973348,20210119
MO.A1.9,200000,5.301029996,20210119
MO.A1.9,180000,5.255272505,20210119
MO.A1.9,160000,5.204119983,20210119
MO.A1.9,140000,5.146128036,20210119
MO.A1.9,140000,5.146128036,20210119
MO.A1.9,100000,5,20210119
MO.A1.9,50000,4.698970004,20210119
MO.A1.9,48000,4.681241237,20210119
MO.A1.9,36000,4.556302501,20210119
MO.A1.9,22000,4.342422681,20210119
MO.A1.9,14000,4.146128036,20210119
MO.A1.9,14000,4.146128036,20210119
MO.A1.9,10000,4,20210119
MO.A1.9,6000,3.77815125,20210119
MO.A1.9,5200,3.716003344,20210119
MO.A1.9,5000,3.698970004,20210119
MO.A1.9,4600,3.662757832,20210119
MO.A1.9,4600,3.662757832,20210119
MO.A1.9,4200,3.62324929,20210119
MO.A1.9,3800,3.579783597,20210119
MO.A1.9,3400,3.531478917,20210119
MO.A1.9,3200,3.505149978,20210119
MO.A1.9,460000,5.662757832,20200902
MO.A1.9,260000,5.414973348,20200902
MO.A1.9,240000,5.380211242,20200902
MO.A1.9,200000,5.301029996,20200902
MO.A1.9,62000,4.792391689,20200902
MO.A1.9,40000,4.602059991,20200902
MO.A1.9,36000,4.556302501,20200902
MO.A1.9,28000,4.447158031,20200902
MO.A1.9,24000,4.380211242,20200902
MO.A1.9,14000,4.146128036,20200902
MO.A1.9,3600,3.556302501,20200902
MO.A1.9,3000,3.477121255,20200902
MO.A1.9,120000,5.079181246,20111101
MO.A1.9,86000,4.934498451,20111101
